Time,Ar_press,Ar_mass_flow,He_mass_flow,He_press,He_vol_flow,Ar_vol_flow,Ar_STP_press,He_STP_press
2021-08-26T19:08:22.377,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:08:52.614,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:09:22.837,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:09:53.047,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:10:23.290,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:10:53.509,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:11:23.711,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:11:53.951,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:12:24.164,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:12:54.385,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:13:24.618,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:13:54.842,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:14:25.022,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:14:55.275,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:15:25.480,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:15:55.684,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:16:25.928,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:16:56.170,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:17:26.369,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:17:56.576,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:18:26.787,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:18:56.979,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:19:27.166,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:19:57.384,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:20:27.575,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:20:57.779,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:21:27.989,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:21:58.173,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:22:28.391,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:22:58.606,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:23:28.839,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:23:59.081,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:24:29.296,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:24:59.497,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:25:29.715,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:25:59.935,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:26:30.179,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:27:00.359,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:27:30.542,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:28:00.763,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:28:30.993,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:29:01.201,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:29:31.418,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:30:01.610,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:30:31.797,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:31:02.006,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:31:32.198,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:32:02.427,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:32:32.656,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:33:02.873,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:33:33.087,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:34:03.284,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:34:33.476,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:35:03.711,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:35:33.937,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:36:04.153,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:36:34.339,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:37:04.583,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:37:34.782,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:38:05.020,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:38:35.243,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:39:05.450,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:39:35.657,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:40:05.831,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:40:36.053,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:41:06.239,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:41:36.450,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:42:06.644,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:42:36.872,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:43:07.069,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:43:37.291,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
2021-08-26T19:44:07.528,0.853,0,0,0.853,0,0,1.01325008393781,1.01325008393781
